Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Vietnam,VNM,1980,,,,1682748,,,,,
Wallis and Futuna,WLF,1980,,,,397,,,,,
Western Sahara,ESH,1980,,,,5271,,,,,
World,OWID_WRL,1980,,22266274,23379587,118940704,17813019,,3339941,,16699705
Yemen,YEM,1980,,3972,3972,466015,7944,,,,35746
Zambia,ZMB,1980,,,,255561,,,,,
Zimbabwe,ZWE,1980,,,,298978,,,,,
Afghanistan,AFG,1981,,13222,13222,534682,,,,,
Africa (UN),,1981,,,,20696482,,,,,
Albania,ALB,1981,,70992,69481,72248,67971,,,,70236
Algeria,DZA,1981,,,220925,747905,,,,,
American Samoa,ASM,1981,,,,1081,,,,,
Americas (UN),,1981,,,,15198133,,,,,
Andorra,AND,1981,,,,294,,,,,
Angola,AGO,1981,,,,368394,,,,,
Anguilla,AIA,1981,,,,156,,,,,
Antigua and Barbuda,ATG,1981,,1161,691,1343,,,,,
Argentina,ARG,1981,,325152,265430,671336,510954,,,,464503
Armenia,ARM,1981,,,,75608,,,,,
Aruba,ABW,1981,,,,1210,,,,,
Asia (UN),,1981,,,,74888784,,,,,
Australia,AUS,1981,,90482,97268,230355,,,,,
Austria,AUT,1981,,79654,79654,92797,22126,,22126,,79654
Azerbaijan,AZE,1981,,,,173455,,,,,
Bahamas,BHS,1981,,2845,2069,5090,,,,,
Bahrain,BHR,1981,,7715,7715,10097,5144,,5144,,
Bangladesh,BGD,1981,,31852,31852,3618822,,,,,31852
Barbados,BRB,1981,,2587,2408,3939,2096,,,,
Belarus,BLR,1981,,,,156392,,,,,
Belgium,BEL,1981,,116559,121467,122703,61347,,,,
Belize,BLZ,1981,,2427,2978,5867,2206,,,,3916
Benin,BEN,1981,,,,175649,,,,,
Bermuda,BMU,1981,,,,755,,,,,
Bhutan,BTN,1981,,1977,1673,17854,3193,,,,6691
Bolivia,BOL,1981,,25178,29051,211000,32925,,,,58102
Bonaire Sint Eustatius and Saba,BES,1981,,,,244,,,,,
Bosnia and Herzegovina,BIH,1981,,,,74717,,,,,
