Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Chad,TCD,2013,213530,213530,251856,604765,312082,213530,,,328507
Chile,CHL,2013,216210,218612,216210,240114,216210,216210,216210,,235428
China,CHN,2013,18123710,18123710,18123710,18598220,18123710,,17574507,,18123710
Colombia,COL,2013,668501,668501,668501,718308,675847,668501,675847,639116,624424
Comoros,COM,2013,18807,18594,18166,22395,18166,18807,,,18166
Congo,COG,2013,142686,142686,142686,172820,134293,142686,,,154437
Cook Islands,COK,2013,321,321,321,296,318,321,318,,321
Costa Rica,CRI,2013,68624,69354,69354,70394,66434,69354,66434,,67894
Cote d'Ivoire,CIV,2013,572170,572170,564542,848644,526397,572170,,,648460
Croatia,HRV,2013,40014,40014,40014,40386,39180,40014,39180,,41264
Cuba,CUB,2013,123158,127007,127007,125410,127007,123158,127007,,127007
Curacao,CUW,2013,,,,2220,,,,,
Cyprus,CYP,2013,12933,13337,13337,13454,11586,12933,11586,,
Czechia,CZE,2013,108054,106962,108054,107519,108054,108054,108054,,
Democratic Republic of Congo,COD,2013,2051942,2051942,2051942,3101526,1965240,2051942,,,2456550
Denmark,DNK,2013,,55556,55556,57202,52601,55556,52601,,
Djibouti,DJI,2013,18646,18646,18646,23332,18191,18646,,,19556
Dominica,DMA,2013,868,868,868,932,841,868,841,,877
Dominican Republic,DOM,2013,166714,172965,170881,210437,172965,156294,172965,143790,206308
East Timor,TLS,2013,25951,25951,25951,32092,22153,25951,,,27216
Ecuador,ECU,2013,280756,280756,280756,314409,313027,280756,313027,267848,290437
Egypt,EGY,2013,2367782,2367782,2367782,2623749,2343372,,2343372,,2392192
El Salvador,SLV,2013,106316,106316,106316,115880,108627,106316,108627,106316,104005
Equatorial Guinea,GNQ,2013,,21512,23136,45793,20700,,,,33283
Eritrea,ERI,2013,95120,95120,95120,94302,95120,95120,,,98155
Estonia,EST,2013,13386,13530,13530,13801,13530,13530,13530,,13818
Eswatini,SWZ,2013,30062,30062,30062,30587,29448,30062,,,30368
Ethiopia,ETH,2013,1839038,1839038,2181910,3182209,1714358,1839038,,,2119570
Europe (UN),,2013,,,,8034158,,,,,
Falkland Islands,FLK,2013,,,,40,,,,,
Faroe Islands,FRO,2013,,,,620,,,,,
Fiji,FJI,2013,19413,19413,19413,19347,18825,19413,18825,16668,19413
Finland,FIN,2013,,59070,59070,59023,58468,59070,58468,56057,
France,FRA,2013,623601,752884,752884,753925,684440,745279,684440,,
French Guiana,GUF,2013,,,,6577,,,,,
French Polynesia,PYF,2013,,,,4476,,,,,
Gabon,GAB,2013,45039,45039,43899,58785,39908,45039,,,52451
Gambia,GMB,2013,75950,75950,75167,76891,75167,75950,,5481,76733
Georgia,GEO,2013,52068,50440,50983,56535,52610,52068,52610,22237,51525
Germany,DEU,2013,600698,642125,642125,682207,669743,635220,669743,,
Ghana,GHA,2013,749985,749985,758318,844700,741652,749985,741652,724986,816651
Gibraltar,GIB,2013,,,,418,,,,,
Greece,GRC,2013,99143,100154,100154,97049,100154,95096,100154,,
Greenland,GRL,2013,,,,797,,,,,
Grenada,GRD,2013,1976,1976,1996,1744,1915,1976,1915,,
Guadeloupe,GLP,2013,,,,5329,,,,,
Guam,GUM,2013,,,,3192,,,,,
Guatemala,GTM,2013,377661,377661,326520,401302,357991,377661,357991,318652,389463
Guernsey,GGY,2013,,,,642,,,,,
Guinea,GIN,2013,189144,189144,185361,401416,204276,189144,,,268584
Guinea-Bissau,GNB,2013,49938,49938,49364,59395,46494,49938,,,53382
Guyana,GUY,2013,15233,15233,15233,16294,15389,15233,15389,14611,15233
Haiti,HTI,2013,172011,164422,161892,255082,172011,172011,172011,,207425
High-income countries,,2013,,,,13170368,,,,,
Honduras,HND,2013,206323,206323,206323,216748,202155,206323,202155,204239,202155
Hong Kong,HKG,2013,,,,67397,,,,,
Hungary,HUN,2013,,88440,88440,89178,88440,88440,88440,,88440
Iceland,ISL,2013,,4119,4119,4440,4119,4119,4119,,
India,IND,2013,17519687,20773343,20523062,25355094,20773343,5005625,,,22775593
Indonesia,IDN,2013,4501172,4501172,4501172,4980105,4256543,195703,,,4403320
Iran,IRN,2013,1389315,1375281,1375281,1451730,1375281,,1375281,,1389315
Iraq,IRQ,2013,782717,840270,863291,1181573,840270,782717,656101,598549,1139544
Ireland,IRL,2013,66408,67107,67107,68588,65010,66408,65010,,53126
Isle of Man,IMN,2013,,,,874,,,,,
Israel,ISR,2013,158387,156755,156755,163982,160020,156755,160020,130629,
Italy,ITA,2013,515087,515087,515087,525255,482894,509722,482894,,
Jamaica,JAM,2013,37964,37964,35106,38714,38372,37964,38372,,37964
Japan,JPN,2013,,993455,1024501,1028566,983107,1024501,983107,,962410
Jersey,JEY,2013,,,,1062,,,,,
Jordan,JOR,2013,195691,195691,195691,204952,193694,195691,195691,,195691
Kazakhstan,KAZ,2013,369179,365450,365450,390062,369179,365450,369179,,354263
Kenya,KEN,2013,1280230,1197634,1293996,1421080,1293996,1280230,,,1266464
Kiribati,KIR,2013,3088,3088,2958,3307,2958,3088,2958,,2796
Kosovo,OWID_KOS,2013,,,,29311,,,,,
Kuwait,KWT,2013,64021,64021,64021,60440,64021,64021,64021,,64021
Kyrgyzstan,KGZ,2013,152581,152581,152581,152167,155727,152581,155727,,154154
Land-locked developing countries (LLDC),,2013,,,,14931470,,,,,
Laos,LAO,2013,127838,127838,126298,160380,120137,127838,120137,,133999
Latin America and the Caribbean (UN),,2013,,,,10530606,,,,,
Latvia,LVA,2013,17884,17884,17884,20063,18265,17884,18265,,17884
Least developed countries,,2013,,,,29562636,,,,,
Lebanon,LBN,2013,78907,81866,79894,108446,80880,83839,80880,,
Lesotho,LSO,2013,50615,50615,48982,58339,48982,50615,,,53336
Less developed regions,,2013,,,,127670104,,,,,
"Less developed regions, excluding China",,2013,,,,108797000,,,,,
"Less developed regions, excluding least developed countries",,2013,,,,98107464,,,,,
Liberia,LBR,2013,117302,117302,117302,154294,108504,117302,,,127565
Libya,LBY,2013,129194,129194,129194,139541,129194,129194,129194,,133231
Liechtenstein,LIE,2013,,,,352,,,,,
Lithuania,LTU,2013,29522,29522,29522,30164,29522,29522,29522,,31109
Low-income countries,,2013,,,,20082646,,,,,
Lower-middle-income countries,,2013,,,,66721420,,,,,
Luxembourg,LUX,2013,5723,6027,6027,6063,6027,6027,6027,5418,
Macao,MAC,2013,,,,6414,,,,,
Madagascar,MDG,2013,523473,523473,538430,797848,478604,523473,,,523473
Malawi,MWI,2013,508905,508905,508905,584106,503187,508905,,463160,548931
Malaysia,MYS,2013,485680,490739,490739,504483,480621,490739,480621,,500858
Maldives,MDV,2013,7320,7320,7320,7388,7320,4289,7320,,7320
Mali,MLI,2013,440255,440255,392102,743010,426497,440255,,,481529
Malta,MLT,2013,4012,4225,4225,4183,4225,4225,4225,,
Marshall Islands,MHL,2013,1134,1119,1119,1283,1119,935,1119,737,1318
Martinique,MTQ,2013,,,,4469,,,,,
Mauritania,MRT,2013,107728,107728,107728,138727,107728,107728,,,127927
Mauritius,MUS,2013,14670,14670,14670,14334,14819,14670,14819,,14819
Mayotte,MYT,2013,,,,7942,,,,,
Mexico,MEX,2013,1822313,1844536,1844536,2285691,1977876,1844536,1977876,1800090,2022323
Micronesia (country),FSM,2013,1999,1950,1950,2530,2191,1637,2191,795,1686
Moldova,MDA,2013,40881,40432,41330,47071,40881,39982,40881,29201,43127
Monaco,MCO,2013,318,318,318,346,292,318,292,,
Mongolia,MNG,2013,65269,65269,65269,73003,64603,65269,64603,,65935
Montenegro,MNE,2013,6850,7154,7154,7879,6698,7154,6698,,7078
Montserrat,MSR,2013,,,,48,,,,,
More developed regions,,2013,,,,13740744,,,,,
Morocco,MAR,2013,684632,684632,684632,678533,684632,684632,,622392,684632
Mozambique,MOZ,2013,783662,783662,774442,980596,792881,783662,,,857418
Myanmar,MMR,2013,675106,675106,684107,902562,774121,675106,,,774121
Namibia,NAM,2013,56495,56495,56495,67741,52051,56495,,,59668
Nauru,NRU,2013,312,312,312,351,348,312,348,,355
Nepal,NPL,2013,542016,542016,542016,598914,518450,542016,518450,,571474
Netherlands,NLD,2013,91063,173197,173197,175583,171412,173197,171412,,
New Caledonia,NCL,2013,,,,4630,,,,,
New Zealand,NZL,2013,57196,56581,56581,60057,56581,56581,56581,,
Nicaragua,NIC,2013,136202,136202,137592,136477,137592,136202,137592,136202,137592
Niger,NER,2013,571797,571797,485636,826539,626627,571797,,,336812
Nigeria,NGA,2013,2723517,2723517,2596842,6852864,2723517,1710115,,,3230218
Niue,NIU,2013,33,33,33,29,33,33,33,,33
North Korea,PRK,2013,290183,290183,308905,330990,308905,290183,,,305784
North Macedonia,MKD,2013,22657,22891,22891,24299,22424,22657,22424,,22657
Northern America (UN),,2013,,,,4308627,,,,,
Northern Mariana Islands,MNP,2013,,,,906,,,,,
Norway,NOR,2013,,57753,57753,59932,57138,58367,57138,,
Oceania (UN),,2013,,,,681973,,,,,
Oman,OMN,2013,70239,70239,70955,71930,70955,70239,70955,,70955
Pakistan,PAK,2013,3825896,3825896,3825896,6370307,4002476,3825896,,,4944235
Palau,PLW,2013,245,245,245,230,245,245,245,245,
Palestine,PSE,2013,133131,133131,133131,138765,133131,133131,133131,,133131
Panama,PAN,2013,62027,62027,62803,77162,71331,62027,71331,67455,73657
Papua New Guinea,PNG,2013,155550,135261,139770,234438,162313,148787,,,209655
Paraguay,PRY,2013,114863,116140,113587,131245,112311,114863,112311,109758,116140
Peru,PER,2013,525599,525599,424063,556108,507681,525599,507681,513654,567408
Philippines,PHL,2013,1948839,1948839,1972040,2466979,1925639,1948839,1925639,649613,2134443
Poland,POL,2013,378368,390192,374426,389411,386250,390192,386250,,366544
Portugal,PRT,2013,90798,90798,90798,86129,90798,90798,90798,,91724
Puerto Rico,PRI,2013,,,,32893,,,,,
Qatar,QAT,2013,22319,22319,22779,23221,22319,21398,22319,22319,22549
Reunion,REU,2013,,,,13445,,,,,
Romania,ROU,2013,195296,187158,179021,197647,187158,185124,187158,,199364
Russia,RUS,2013,1784555,1784555,1802952,1900483,1802952,,1802952,,1766157
Rwanda,RWA,2013,331611,331611,331611,347456,321460,331611,,331611,334995
Saint Barthelemy,BLM,2013,,,,104,,,,,
Saint Helena,SHN,2013,,,,46,,,,,
Saint Kitts and Nevis,KNA,2013,658,658,658,662,671,658,671,,637
Saint Lucia,LCA,2013,2105,2105,2105,2127,2105,2105,2105,,2105
Saint Martin (French part),MAF,2013,,,,659,,,,,
Saint Pierre and Miquelon,SPM,2013,,,,56,,,,,
Saint Vincent and the Grenadines,VCT,2013,1698,1698,1698,1707,1733,1716,1733,,1681
Samoa,WSM,2013,5055,4995,4817,5923,5471,5055,5471,,5352
San Marino,SMR,2013,264,273,273,316,261,254,261,,
Sao Tome and Principe,STP,2013,6078,6078,6078,6635,5702,6078,,,6078
Saudi Arabia,SAU,2013,633293,633293,633293,563102,633293,633293,633293,542822,639755
Senegal,SEN,2013,430153,430153,416127,484895,392749,430153,392749,,453531
Serbia,SRB,2013,64898,67750,69177,67407,65611,65611,65611,,69177
Seychelles,SYC,2013,1684,1684,1684,1633,1666,1684,1666,,1701
Sierra Leone,SLE,2013,208984,208984,208984,229429,193083,208984,,,224884
Singapore,SGP,2013,45133,45133,45133,46141,44203,39550,44203,,46064
Sint Maarten (Dutch part),SXM,2013,,,,485,,,,,
Slovakia,SVK,2013,57571,57571,57571,55502,57571,57571,57571,,
Slovenia,SVN,2013,,21328,21328,21550,21104,21328,21104,,
Small island developing states (SIDS),,2013,,,,1262461,,,,,
Solomon Islands,SLB,2013,15298,15298,15666,19112,14008,15298,14008,,15113
Somalia,SOM,2013,218348,218348,244342,566218,239143,218348,,,192354
South Africa,ZAF,2013,835460,927017,904128,1157199,892683,904128,,881239,1007130
South Korea,KOR,2013,455086,455086,455086,445421,455086,,455086,,455086
South Sudan,SSD,2013,,207194,218922,404388,226741,,,,226741
Spain,ESP,2013,441109,445752,445752,436257,441109,445752,441109,,
Sri Lanka,LKA,2013,353014,353014,353014,360124,353014,353014,353014,,353014
Sudan,SDN,2013,1120159,1120159,1120159,1300282,1023801,1120159,,963578,1120159
Suriname,SUR,2013,8222,8222,8438,11236,8763,8222,8763,,
Sweden,SWE,2013,40165,112462,112462,113748,111314,112462,111314,,30984
Switzerland,CHE,2013,,78758,78758,80513,76297,77938,76297,,
Syria,SYR,2013,408878,236113,287942,570158,334013,236113,334013,,483743
Taiwan,TWN,2013,,,,201069,,,,,
Tajikistan,TJK,2013,227651,227651,230022,250761,218165,227651,218165,,232393
Tanzania,TZA,2013,1575971,1575971,1575971,1774826,1714518,1575971,,1472061,1714518
Thailand,THA,2013,801539,801539,801539,800005,801539,,801539,,801539
Togo,TGO,2013,195385,195385,195385,245960,167473,195385,,,225623
Tokelau,TKL,2013,,,,32,,,,,
Tonga,TON,2013,2747,2747,2747,2782,2747,2747,2747,,2747
Trinidad and Tobago,TTO,2013,18850,18850,19260,18873,18645,18850,18645,,
Tunisia,TUN,2013,205024,205024,205024,217775,196656,205024,196656,,202932
Turkey,TUR,2013,1266987,1280049,1280049,1288175,1280049,1280049,1280049,,1253925
Turkmenistan,TKM,2013,133663,133663,133663,150439,135027,132299,135027,,133663
Turks and Caicos Islands,TCA,2013,,,,441,,,,,
Tuvalu,TUV,2013,245,245,245,268,261,245,261,,269
Uganda,UGA,2013,1132569,1132569,1051671,1372806,1119086,1132569,,,1253915
Ukraine,UKR,2013,233508,385797,365491,518284,401025,421330,401025,,482246
United Arab Emirates,ARE,2013,105363,105363,105363,87006,105363,105363,105363,,101062
United Kingdom,GBR,2013,,772312,772312,803558,756053,772312,756053,,
United States,USA,2013,3636580,3756467,3716505,3924907,3676543,3716505,3676543,2917257,
United States Virgin Islands,VIR,2013,,,,1405,,,,,
Upper-middle-income countries,,2013,,,,40843752,,,,,
Uruguay,URY,2013,44409,44409,44409,47206,45354,44409,45354,,46299
Uzbekistan,UZB,2013,628210,628210,628210,650703,615519,628210,615519,,628210
Vanuatu,VUT,2013,6887,6969,6472,8216,6969,7135,,,7716
Vatican,VAT,2013,,,,2,,,,,
Venezuela,VEN,2013,479222,479222,479222,577347,496754,479222,496754,450001,555196
Vietnam,VNM,2013,874864,874864,1379024,1586280,1453165,874864,,,1408680
Wallis and Futuna,WLF,2013,,,,180,,,,,
Western Sahara,ESH,2013,,,,8880,,,,,
World,OWID_WRL,2013,108789661,115675083,115675083,141410848,115675083,70231300,57837541,19279180,122560504
Yemen,YEM,2013,633935,633935,581831,985658,607883,633935,,486306,616567
Zambia,ZMB,2013,441193,441193,413269,574311,446778,441193,,,530548
Zimbabwe,ZWE,2013,436440,436440,436440,498002,427252,436440,,,436440
Afghanistan,AFG,2014,718959,718959,718959,1233236,695767,718959,,,858113
Africa (UN),,2014,,,,40066204,,,,,
Albania,ALB,2014,33605,33605,33605,37433,33605,33605,33605,,33948
Algeria,DZA,2014,884001,884001,884001,981606,884001,884001,,,921222
American Samoa,ASM,2014,,,,1011,,,,,
Americas (UN),,2014,,,,14829994,,,,,
Andorra,AND,2014,662,676,676,635,669,676,669,,
Angola,AGO,2014,571173,571173,571173,1086472,581558,571173,,186929,747718
Anguilla,AIA,2014,,,,145,,,,,
Antigua and Barbuda,ATG,2014,1126,1126,1092,1087,1057,1126,1057,,
Argentina,ARG,2014,692299,692299,677569,756288,699664,692299,699664,,729123
Armenia,ARM,2014,40249,40249,41114,43773,41980,40249,41980,39383,42845
Aruba,ABW,2014,,,,1230,,,,,
Asia (UN),,2014,,,,77623280,,,,,
Australia,AUS,2014,281660,284755,284755,309313,290945,281660,290945,259993,
Austria,AUT,2014,79230,79230,79230,79430,77613,79230,77613,49317,
Azerbaijan,AZE,2014,176398,176398,182027,186180,183904,176398,183904,,183904
Bahamas,BHS,2014,4822,4822,4822,5180,4621,4822,4621,,
Bahrain,BHR,2014,19708,19708,19708,20861,19909,19708,19909,19507,
Bangladesh,BGD,2014,2861605,2861605,2861605,3110492,2773102,2861605,2773102,,2920607
Barbados,BRB,2014,2949,2949,2980,3290,2980,2949,2980,,
Belarus,BLR,2014,114795,114795,114795,118348,117162,23669,117162,,115978
Belgium,BEL,2014,123909,125174,125174,124999,121380,123909,121380,108737,
Belize,BLZ,2014,7153,7153,7153,7524,7153,7153,7153,,7378
Benin,BEN,2014,273168,273168,262094,407724,239945,273168,,,354380
Bermuda,BMU,2014,,,,601,,,,,
Bhutan,BTN,2014,12579,12579,12452,12201,12325,12579,12325,,12579
Bolivia,BOL,2014,216115,216115,216115,251899,226285,216115,226285,216115,238998
Bonaire Sint Eustatius and Saba,BES,2014,,,,266,,,,,
Bosnia and Herzegovina,BIH,2014,30493,29465,29465,30005,30493,27067,30493,,33577
Botswana,BWA,2014,54557,54557,55131,56262,55705,54557,,54557,56279
Brazil,BRA,2014,2813184,2725272,2813184,2905860,2842488,2783880,2842488,2695968,2901096
British Virgin Islands,VGB,2014,,,,330,,,,,
Brunei,BRN,2014,6929,6929,6929,6726,6789,6719,6789,,6929
Bulgaria,BGR,2014,64950,60164,60164,65986,63582,56745,63582,,66317
Burkina Faso,BFA,2014,617220,617220,617220,702659,596872,617220,,617220,664699
Burundi,BDI,2014,393320,393320,393320,442219,389180,393320,,347778,380899
Cambodia,KHM,2014,303879,303879,307218,364354,277164,303879,277164,,327254
Cameroon,CMR,2014,633854,633854,641490,784200,595670,633854,,259651,664401
Canada,CAN,2014,210613,348469,348469,383495,344640,348469,344640,,
Cape Verde,CPV,2014,10040,9935,9935,9238,9726,10040,8262,,10353
Cayman Islands,CYM,2014,,,,806,,,,,
Central African Republic,CAF,2014,82151,82151,91278,190581,85802,82151,,,124139
Chad,TCD,2014,202803,202803,247870,620111,253504,202803,,,326738
Chile,CHL,2014,227317,227317,227317,239997,232103,227317,232103,,234495
China,CHN,2014,18348783,18348783,18348783,18372366,18348783,,18163442,,18348783
Colombia,COL,2014,657127,657127,657127,708646,664428,657127,664428,649825,649825
Comoros,COM,2014,19004,18789,18789,22547,18573,19004,,,19436
Congo,COG,2014,151736,151736,151736,172499,134876,151736,,101157,160165
Cook Islands,COK,2014,316,316,316,285,313,316,313,,316
Costa Rica,CRI,2014,65777,65777,65777,69751,68668,65777,68668,,68668
Cote d'Ivoire,CIV,2014,560923,560923,545555,890684,453349,560923,,,653130
Croatia,HRV,2014,38804,38804,38804,39127,38395,38804,38395,,40029
Cuba,CUB,2014,121460,123965,123965,123218,123965,121460,123965,,123965
Curacao,CUW,2014,,,,2143,,,,,
Cyprus,CYP,2014,12807,13208,13208,13380,11473,12807,11473,,
Czechia,CZE,2014,106989,104828,106989,108346,106989,106989,106989,,
Democratic Republic of Congo,COD,2014,2175920,2175920,2146113,3196082,2056692,2175920,,,2384570
Denmark,DNK,2014,,53977,53977,56642,51680,53977,51680,,
Djibouti,DJI,2014,17779,17779,17779,23316,16184,17779,,,22566
Dominica,DMA,2014,878,878,878,934,851,878,851,,887
Dominican Republic,DOM,2014,185108,189267,187187,209607,183028,180948,183028,178868,205906
East Timor,TLS,2014,23890,23890,23580,31825,22959,23890,,,24511
Ecuador,ECU,2014,262057,262057,265214,303220,268371,262057,268371,255742,281001
Egypt,EGY,2014,2395898,2395898,2395898,2698640,2370410,2395898,2370410,,2446875
El Salvador,SLV,2014,106854,108003,106854,115282,109152,106854,109152,110301,97662
Equatorial Guinea,GNQ,2014,22125,22125,22960,46718,22125,22125,,,35483
Eritrea,ERI,2014,94258,94258,94258,93600,90248,94258,,25069,97267
Estonia,EST,2014,12870,12870,12870,13603,12870,12870,12870,4428,13147
Eswatini,SWZ,2014,29991,29991,29991,30278,29685,29991,,,30297
Ethiopia,ETH,2014,1907233,1907233,2126095,3218982,1688370,1907233,,1750902,2157362
Europe (UN),,2014,,,,7973065,,,,,
Falkland Islands,FLK,2014,,,,42,,,,,
Faroe Islands,FRO,2014,,,,633,,,,,
Fiji,FJI,2014,19340,19340,19340,19244,18754,19340,18754,19340,19340
Finland,FIN,2014,,58261,58261,58039,57072,58261,57072,54694,
France,FRA,2014,625720,738801,738801,743364,686030,731263,686030,,
French Guiana,GUF,2014,,,,6531,,,,,
French Polynesia,PYF,2014,,,,4198,,,,,
Gabon,GAB,2014,40742,40742,39578,59834,35504,40742,,,52965
Gambia,GMB,2014,76399,76399,77195,77256,76399,76399,,73215,76399
Georgia,GEO,2014,49732,49732,49732,58621,50279,49732,50279,37709,52465
Germany,DEU,2014,609512,651547,651547,703147,679570,637535,679570,469394,
Ghana,GHA,2014,833086,833086,799083,852954,782081,833086,782081,833086,841587
Gibraltar,GIB,2014,,,,429,,,,,
Greece,GRC,2014,92375,95262,95262,92890,93337,95262,93337,19245,
Greenland,GRL,2014,,,,787,,,,,
Grenada,GRD,2014,1988,1988,1660,1684,1927,1988,1927,,
Guadeloupe,GLP,2014,,,,5247,,,,,
Guam,GUM,2014,,,,3147,,,,,
Guatemala,GTM,2014,292361,292361,217295,403577,268656,292361,268656,288410,367426
Guernsey,GGY,2014,,,,614,,,,,
Guinea,GIN,2014,169136,169136,161448,408219,192200,169136,,,253703
Guinea-Bissau,GNB,2014,50306,50306,49136,59841,47381,50306,,,54400
Guyana,GUY,2014,15218,15218,15063,16497,15374,15218,15374,14753,15374
Haiti,HTI,2014,158700,158700,158700,254540,173814,158700,173814,57938,204043
High-income countries,,2014,,,,13120789,,,,,
Honduras,HND,2014,205535,205535,205535,217124,201383,205535,201383,205535,199307
Hong Kong,HKG,2014,,,,63489,,,,,
Hungary,HUN,2014,,89301,89301,91100,89301,89301,89301,,89301
Iceland,ISL,2014,,4011,4011,4346,4011,4011,4011,,
India,IND,2014,19590014,21077863,20829888,24722340,21077863,4959497,,,22069763
Indonesia,IDN,2014,4262284,4262284,4359154,4878452,4165414,1453052,,,4359154
Iran,IRN,2014,1459464,1459464,1459464,1503419,1459464,,1459464,,1459464
Iraq,IRQ,2014,809112,856017,891196,1191839,820838,820838,785659,351788,1160900
Ireland,IRL,2014,64002,64676,64676,66186,62655,64676,62655,,49855
Isle of Man,IMN,2014,,,,834,,,,,
Israel,ISR,2014,160388,157081,157081,166645,160388,157081,160388,133932,
Italy,ITA,2014,496557,496557,496557,508151,454742,491331,454742,,
Jamaica,JAM,2014,36849,36849,37249,37782,36849,36849,36849,,36048
Japan,JPN,2014,,985549,1016348,1009295,1006082,1016348,1006082,,954751
Jersey,JEY,2014,,,,1033,,,,,
Jordan,JOR,2014,213096,213096,213096,223613,213096,213096,213096,,206573
Kazakhstan,KAZ,2014,360890,360890,360890,399475,376085,360890,376085,,360890
Kenya,KEN,2014,1257025,1257025,1270689,1408838,1298015,1257025,,259603,1284352
Kiribati,KIR,2014,2441,2441,2571,3269,2864,2441,2864,,2344
Kosovo,OWID_KOS,2014,,,,28425,,,,,
Kuwait,KWT,2014,62466,61816,61165,60975,61165,61816,61165,,64418
Kyrgyzstan,KGZ,2014,153935,153935,152332,151705,153935,153935,153935,,155539
Land-locked developing countries (LLDC),,2014,,,,15144674,,,,,
Laos,LAO,2014,127534,127534,127534,159906,124461,127534,124461,,136753
Latin America and the Caribbean (UN),,2014,,,,10499005,,,,,
Latvia,LVA,2014,18325,18325,18325,21044,18923,18325,18923,,18325
Least developed countries,,2014,,,,30039184,,,,,
Lebanon,LBN,2014,87242,90514,88333,120078,89423,92695,89423,,
Lesotho,LSO,2014,48452,48452,48452,58516,50654,48452,,,53407
Less developed regions,,2014,,,,127494440,,,,,
"Less developed regions, excluding China",,2014,,,,108860776,,,,,
"Less developed regions, excluding least developed countries",,2014,,,,97455248,,,,,
Liberia,LBR,2014,93596,93596,92110,152991,86168,93596,,,108452
Libya,LBY,2014,120718,120718,120718,142422,119433,120718,119433,110444,127139
Liechtenstein,LIE,2014,,,,360,,,,,
Lithuania,LTU,2014,29515,29201,29201,30112,29201,29201,29201,,30771
Low-income countries,,2014,,,,20359580,,,,,
Lower-middle-income countries,,2014,,,,66534952,,,,,
Luxembourg,LUX,2014,5909,6223,6223,6085,6223,6223,6223,5595,
Macao,MAC,2014,,,,6524,,,,,
Madagascar,MDG,2014,512897,512897,535525,809574,497812,512897,,377130,482726
Malawi,MWI,2014,523913,523913,500884,585706,489370,523913,,477855,558457
Malaysia,MYS,2014,492799,497932,497932,511504,482532,497932,482532,,508199
Maldives,MDV,2014,7375,7375,7375,7346,7375,7375,7226,,7375
Mali,MLI,2014,464281,464281,436143,756676,429108,464281,,161795,513523
Malta,MLT,2014,3838,4221,4221,4185,4179,4221,4179,,
Marshall Islands,MHL,2014,1054,1041,1027,1188,1054,867,1054,587,1187
Martinique,MTQ,2014,,,,4311,,,,,
Mauritania,MRT,2014,106091,106091,106091,140424,98233,106091,,6549,121809
Mauritius,MUS,2014,13888,13888,14032,13899,14032,13888,14032,,13888
Mayotte,MYT,2014,,,,8539,,,,,
Mexico,MEX,2014,1852276,1918429,1918429,2262181,2138938,1918429,2138938,1874327,2116887
Micronesia (country),FSM,2014,1928,1833,1809,2507,1975,1547,1975,952,1737
Moldova,MDA,2014,41693,40787,41693,48708,40787,40334,40787,28098,43959
Monaco,MCO,2014,318,318,318,344,289,318,289,,
Mongolia,MNG,2014,69466,69466,69466,76355,68765,69466,68765,,69466
Montenegro,MNE,2014,6729,7038,7038,7856,5878,7038,5878,,7038
Montserrat,MSR,2014,,,,47,,,,,
More developed regions,,2014,,,,13681708,,,,,
Morocco,MAR,2014,688866,688866,688866,667941,688866,688866,688866,626242,688866
Mozambique,MOZ,2014,828363,828363,828363,995823,818950,828363,,,884843
Myanmar,MMR,2014,789122,789122,789122,904654,789122,789122,,,824992
Namibia,NAM,2014,56918,56918,56918,69234,53684,56918,,,62740
Nauru,NRU,2014,333,333,333,343,344,333,344,,347
Nepal,NPL,2014,542719,542719,542719,597895,519123,542719,519123,,584013
Netherlands,NLD,2014,164204,167698,167698,175242,167698,167698,167698,,
New Caledonia,NCL,2014,,,,4617,,,,,
New Zealand,NZL,2014,56487,56487,56487,59045,56487,56487,56487,,
Nicaragua,NIC,2014,136893,136893,138290,136171,138290,136893,138290,138290,138290
Niger,NER,2014,655219,655219,639040,849038,647130,655219,,153693,703753
Nigeria,NGA,2014,2761092,2761092,2568458,6935785,2825303,2761092,,,3274783
Niue,NIU,2014,31,31,31,28,31,31,31,,31
North Korea,PRK,2014,297159,297159,316331,334106,316331,297159,,,313135
North Macedonia,MKD,2014,22759,22290,22524,24206,21821,22055,21821,,23228
Northern America (UN),,2014,,,,4330989,,,,,
Northern Mariana Islands,MNP,2014,,,,849,,,,,
Norway,NOR,2014,,56519,56519,59358,57127,57127,57127,,
Oceania (UN),,2014,,,,683593,,,,,
Oman,OMN,2014,74553,74553,74553,76572,74553,74553,74553,,74553
Pakistan,PAK,2014,4090066,4090066,4090066,6355542,4208619,4090066,,,5038487
Palau,PLW,2014,243,233,233,237,203,243,203,243,
Palestine,PSE,2014,134515,134515,134515,140780,134515,134515,134515,,134515
Panama,PAN,2014,62482,62482,62482,77422,70293,62482,70293,67950,77322
Papua New Guinea,PNG,2014,130186,118766,98211,237203,148458,127902,,,191853
Paraguay,PRY,2014,120215,120215,120215,133462,108581,120215,108581,116337,124092
Peru,PER,2014,517479,517479,458674,549476,523359,517479,523359,505718,552761
Philippines,PHL,2014,1860021,1836771,1906521,2417770,1883271,1836771,1883271,23250,2046023
